iter	Passed	Remaining
0	0	75
1	0	77
2	1	76
3	1	83
4	1	77
5	2	79
6	2	77
7	3	81
8	3	79
9	4	77
10	4	78
11	4	76
12	5	76
13	5	76
14	6	76
15	6	75
16	6	74
17	7	73
18	7	73
19	8	73
20	8	72
21	8	71
22	9	72
23	9	71
24	10	71
25	10	72
26	11	71
27	11	71
28	11	70
29	12	70
30	12	70
31	13	69
32	13	69
33	14	68
34	14	69
35	15	68
36	15	67
37	15	67
38	16	67
39	16	67
40	17	66
41	17	66
42	18	66
43	18	65
44	18	65
45	19	64
46	19	64
47	20	64
48	20	63
49	20	62
50	21	62
51	21	61
52	22	61
53	22	60
54	22	60
55	23	59
56	23	59
57	23	58
58	24	58
59	24	57
60	25	57
61	25	57
62	26	56
63	26	56
64	27	56
65	27	55
66	27	55
67	28	54
68	28	54
69	29	53
70	29	53
71	29	53
72	30	52
73	30	52
74	30	51
75	31	51
76	31	50
77	32	50
78	32	49
79	32	49
80	33	49
81	33	48
82	34	48
83	34	47
84	34	47
85	35	46
86	35	46
87	36	46
88	36	45
89	37	45
90	37	44
91	37	44
92	38	44
93	38	43
94	39	43
95	39	42
96	40	42
97	40	42
98	40	41
99	41	41
100	41	40
101	42	40
102	42	39
103	42	39
104	43	39
105	43	38
106	43	38
107	44	37
108	44	37
109	45	37
110	45	36
111	46	36
112	46	35
113	47	35
114	47	35
115	48	34
116	48	34
117	48	34
118	49	33
119	49	33
120	50	32
121	50	32
122	51	32
123	51	31
124	52	31
125	52	30
126	52	30
127	53	30
128	53	29
129	54	29
130	54	28
131	54	28
132	55	27
133	55	27
134	56	27
135	56	26
136	57	26
137	57	25
138	58	25
139	58	25
140	58	24
141	59	24
142	59	23
143	60	23
144	60	22
145	60	22
146	61	22
147	62	21
148	62	21
149	63	21
150	63	20
151	63	20
152	64	19
153	64	19
154	65	18
155	65	18
156	65	18
157	66	17
158	66	17
159	67	16
160	67	16
161	67	15
162	68	15
163	68	15
164	68	14
165	69	14
166	69	13
167	70	13
168	70	12
169	71	12
170	71	12
171	71	11
172	72	11
173	72	10
174	73	10
175	73	10
176	74	9
177	74	9
178	74	8
179	75	8
180	75	7
181	76	7
182	76	7
183	77	6
184	77	6
185	77	5
186	78	5
187	78	5
188	79	4
189	79	4
190	80	3
191	80	3
192	80	2
193	81	2
194	81	2
195	81	1
196	82	1
197	82	0
198	83	0
199	83	0
